Timestamp,Protocol,Local_Address,Remote_Address,Status
2026-03-17 12:25:21,TCP,10.1.2.45:60188,52.253.84.76:443,ESTABLISHED
2026-03-17 12:25:22,TCP,10.1.2.45:58794,199.232.101.91:443,ESTABLISHED
2026-03-17 12:25:22,TCP,10.1.2.45:58796,20.195.65.193:443,ESTABLISHED
2026-03-17 12:25:24,TCP,10.1.2.45:53351,140.82.114.26:443,ESTABLISHED
2026-03-17 12:25:26,TCP,127.0.1.1:8050,127.0.0.1:60551,ESTABLISHED
2026-03-17 12:25:26,TCP,127.0.0.1:60551,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:26,TCP,10.1.2.45:60546,20.195.65.193:443,ESTABLISHED
2026-03-17 12:25:26,TCP,127.0.1.1:8050,127.0.0.1:60550,ESTABLISHED
2026-03-17 12:25:26,TCP,10.1.2.45:53356,23.55.46.100:443,ESTABLISHED
2026-03-17 12:25:26,TCP,127.0.0.1:60550,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:28,TCP,10.1.2.45:60544,10.1.8.107:8009,ESTABLISHED
2026-03-17 12:25:31,TCP,10.1.2.45:63252,13.107.6.158:443,ESTABLISHED
2026-03-17 12:25:31,TCP,127.0.1.1:8050,127.0.0.1:63264,ESTABLISHED
2026-03-17 12:25:31,TCP,127.0.0.1:63264,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:37,TCP,192.168.137.1:63718,23.205.101.90:80,ESTABLISHED
2026-03-17 12:25:37,TCP,192.168.16.235:49433,4.213.25.241:443,ESTABLISHED
2026-03-17 12:25:38,TCP,192.168.16.235:59240,140.82.114.26:443,ESTABLISHED
2026-03-17 12:25:38,TCP,192.168.16.235:59241,72.145.35.105:443,ESTABLISHED
2026-03-17 12:25:40,TCP,192.168.16.235:64398,23.220.98.50:443,ESTABLISHED
2026-03-17 12:25:41,TCP,192.168.16.235:63952,74.125.68.188:5228,ESTABLISHED
2026-03-17 12:25:41,TCP,192.168.16.235:53874,74.125.68.188:5228,ESTABLISHED
2026-03-17 12:25:42,TCP,192.168.137.1:63703,23.205.101.73:80,ESTABLISHED
2026-03-17 12:25:44,TCP,192.168.16.235:49802,140.82.114.26:443,ESTABLISHED
2026-03-17 12:25:47,TCP,192.168.16.235:49434,4.213.25.241:443,ESTABLISHED
2026-03-17 12:25:47,TCP,192.168.16.235:49809,72.145.35.105:443,ESTABLISHED
2026-03-17 12:25:48,TCP,192.168.16.235:49813,23.220.98.50:443,ESTABLISHED
2026-03-17 12:25:49,TCP,192.168.16.235:58461,140.82.114.26:443,ESTABLISHED
2026-03-17 12:25:52,TCP,192.168.16.235:59412,20.207.73.82:443,ESTABLISHED
2026-03-17 12:25:55,TCP,192.168.16.235:60797,140.82.114.26:443,ESTABLISHED
2026-03-17 12:25:56,TCP,127.0.1.1:8050,127.0.0.1:60805,ESTABLISHED
2026-03-17 12:25:56,TCP,127.0.0.1:60805,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:56,TCP,192.168.16.235:60804,23.202.229.22:443,ESTABLISHED
2026-03-17 12:26:02,TCP,192.168.16.235:49721,40.79.173.40:443,ESTABLISHED
2026-03-17 12:26:02,TCP,192.168.16.235:49341,40.79.173.40:443,ESTABLISHED
2026-03-17 12:26:07,TCP,127.0.0.1:57796,127.0.0.1:57797,ESTABLISHED
2026-03-17 12:26:07,TCP,127.0.0.1:57797,127.0.0.1:57796,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:63242,10.1.13.38:8009,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:54230,74.125.68.188:5228,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:57803,216.239.34.223:443,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:63339,74.125.68.188:5228,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:57801,13.107.6.158:443,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:49435,4.213.25.241:443,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:57802,13.107.6.158:443,ESTABLISHED
2026-03-17 12:26:08,TCP,192.168.16.235:54231,76.223.92.165:443,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54233,20.195.84.7:443,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54235,20.192.44.82:443,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54245,20.195.84.7:443,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54232,72.145.35.105:443,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54247,34.107.221.82:80,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54244,142.250.193.170:443,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54246,34.107.221.82:80,ESTABLISHED
2026-03-17 12:26:09,TCP,192.168.16.235:54234,20.192.44.82:443,ESTABLISHED
2026-03-17 12:26:11,TCP,192.168.16.235:58790,15.197.213.252:443,ESTABLISHED
2026-03-17 12:26:12,TCP,192.168.16.235:50080,15.197.213.252:443,ESTABLISHED
2026-03-17 12:26:12,TCP,192.168.16.235:58797,13.107.6.158:443,ESTABLISHED
2026-03-17 12:26:12,TCP,192.168.16.235:58796,34.107.243.93:443,ESTABLISHED
2026-03-17 12:26:12,TCP,127.0.1.1:8050,127.0.0.1:58798,ESTABLISHED
2026-03-17 12:26:12,TCP,127.0.0.1:58798,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:26:13,TCP,192.168.16.235:58801,34.107.243.93:443,ESTABLISHED
